dataset,split,family,step_mode,seed,target_gain,preservation_acc,preservation_consistency,drift,objective,feasible_rate,alpha,tau_img,alpha_star_mean,alpha_nonzero_rate,confidence_drop,n,step_rank
dsprites,id_test,global,auto,11,1.2782888364791871,0.8389583333333334,1.0,4.663580446243286,0.9811624830961228,,,7.0,0.965625,0.8491666666666666,0.0216394306843479,4800,0
dsprites,ood_test,global,auto,11,1.2621637471516929,0.7947916666666667,1.0,4.687691748936971,0.9652092478672664,,,7.0,0.9635416666666666,0.8489583333333334,0.0196162549157937,4800,0
