dataset,split,family,step_mode,target_gain__mean,target_gain__std,target_gain__count,preservation_acc__mean,preservation_acc__std,preservation_acc__count,preservation_consistency__mean,preservation_consistency__std,preservation_consistency__count,drift__mean,drift__std,drift__count,objective__mean,objective__std,objective__count,feasible_rate__mean,feasible_rate__std,feasible_rate__count,alpha__mean,alpha__std,alpha__count,tau_img__mean,tau_img__std,tau_img__count,alpha_star_mean__mean,alpha_star_mean__std,alpha_star_mean__count,alpha_nonzero_rate__mean,alpha_nonzero_rate__std,alpha_nonzero_rate__count
dsprites,id_test,global,auto,0.8767337742249172,0.3231756913880181,5,0.849625,0.023949001805920876,5,1.0,0.0,5,3.992059843301773,1.125367356940589,5,0.6216835894795756,0.2635979191747644,5,,,0,,,0,7.0,0.0,5,0.7199375,0.15765501286542466,5,0.7621666666666667,0.10062280018299366,5
dsprites,id_test,global,fixed,0.9614658553997675,0.3978807182269506,5,0.7939583333333333,0.025262510652040212,5,0.8322499999999999,0.012025183355035522,5,5.627516490300496,1.1301943107646881,5,0.542845700358351,0.34484893249100707,5,0.7774583333333334,0.016556537186595256,5,1.0,0.0,5,,,0,,,0,,,0
dsprites,id_test,local,auto,0.6199042525291443,0.07725383235520535,5,0.849625,0.023949001805920876,5,1.0,0.0,5,3.7978737136125567,0.5728232506673893,5,0.37894822605109457,0.04240394830090656,5,,,0,,,0,7.0,0.0,5,0.5150625,0.11501775130961067,5,0.672875,0.10821050729429602,5
dsprites,id_test,local,fixed,1.0939005245367686,0.06940534852166448,5,0.7969583333333333,0.02416199667521978,5,0.8389166666666666,0.01564262894393967,5,7.8392578277587885,0.7786423800005158,5,0.5461631426115832,0.019229931685370055,5,0.7878333333333334,0.024296794055778014,5,1.0,0.0,5,,,0,,,0,,,0
dsprites,ood_test,global,auto,0.8595488682190577,0.32059270345630625,5,0.8074166666666667,0.03903057028364646,5,1.0,0.0,5,3.958200440367063,1.1233571917432725,5,0.6078575001383821,0.2611843086321763,5,,,0,,,0,7.0,0.0,5,0.7104583333333333,0.16245095747661642,5,0.756625,0.10117832253693915,5
dsprites,ood_test,global,fixed,0.9525945520599682,0.40377078117979537,5,0.7575833333333334,0.028936817546548255,5,0.8285416666666666,0.013829473608123234,5,5.61977560488383,1.1462857150235752,5,0.5376712892676393,0.3496719172209806,5,0.783125,0.020117385550535338,5,1.0,0.0,5,,,0,,,0,,,0
dsprites,ood_test,local,auto,0.597668195694685,0.06992854915473602,5,0.8074166666666667,0.03903057028364646,5,1.0,0.0,5,3.7114619667331383,0.5515515078748935,5,0.3623197071055571,0.037297538673524644,5,,,0,,,0,7.0,0.0,5,0.5,0.11098412068130638,5,0.6615,0.10481313978139062,5
dsprites,ood_test,local,fixed,1.0890373717943826,0.06664935669241738,5,0.7667916666666666,0.029092390542889368,5,0.8414583333333333,0.012362964124531143,5,7.855415761311849,0.7364400223200237,5,0.5443079042285681,0.01815093252699804,5,0.7962916666666666,0.021742355776737304,5,1.0,0.0,5,,,0,,,0,,,0
